Name;ISIN;Symbol;Market;Currency;Open Price;High Price;low Price;last Price;last Trade MIC Time;Time Zone;Volume;Turnover;Closing Price;Closing Price DateTime
LEONARDO;IT0003856405;LDO;Euronext Milan;EUR;20.78;20.82;20.43;20.69;08/03/2024 17:39;CET;3490522;72022545.81;20.69;08/03/2024
LOTTOMATICA GROUP;IT0005541336;LTMC;Euronext Milan;EUR;10.88;11.01;10.79;10.962;08/03/2024 17:35;CET;156811;1.711.510.088;10.962;08/03/2024
LUVE;IT0005107492;LUVE;Euronext Milan;EUR;21.40;21.40;20.60;20.85;08/03/2024 17:35;CET;8815;183579.50;20.85;08/03/2024
LVENTURE GROUP;IT0005013013;LVEN;Euronext Milan;EUR;0.242;0.248;0.241;0.245;08/03/2024 16:54;CET;75349;18.261.908;0.245;08/03/2024
MAIRE TECNIMONT;IT0004931058;MAIRE;Euronext Milan;EUR;6.93;7.21;6.835;6.865;08/03/2024 17:35;CET;3131233;21.925.537.545;6.865;08/03/2024
MARR;IT0003428445;MARR;Euronext Milan;EUR;10.68;10.70;10.48;10.48;08/03/2024 17:35;CET;349749;3698357.50;10.48;08/03/2024
MEDIOBANCA;IT0000062957;MB;Euronext Milan;EUR;12.80;12.88;12.73;12.795;08/03/2024 17:35;CET;1821819;23306841.22;12.795;08/03/2024
MET.EXTRA GROUP;IT0005481855;MET;Euronext Milan;EUR;3.00;3.00;2.80;2.86;08/03/2024 17:35;CET;8053;23371.54;2.86;08/03/2024
MFE A;NL0015001OI1;MFEA;Euronext Milan;EUR;2.113;21.565;2.093;2.143;08/03/2024 17:35;CET;1450618;3.081.758.986;2.143;08/03/2024
MFE B;NL0015001OJ9;MFEB;Euronext Milan;EUR;3.003;3.097;2.99;3.072;08/03/2024 17:35;CET;512532;1.563.473.456;3.072;08/03/2024
MITTEL;IT0001447348;MIT;Euronext Milan;EUR;1.50;1.53;1.46;1.46;08/03/2024 17:35;CET;38534;56827.61;1.46;08/03/2024
MONCLER;IT0004965148;MONC;Euronext Milan;EUR;67.20;67.54;66.64;67.10;08/03/2024 17:35;CET;839880;56366587.16;67.10;08/03/2024
MONDADORI EDIT;IT0001469383;MN;Euronext Milan;EUR;2.11;2.17;2.11;2.145;08/03/2024 17:35;CET;441577;944.622.125;2.145;08/03/2024
MONDO TV;IT0001447785;MTV;Euronext Milan;EUR;0.215;0.215;0.211;0.214;08/03/2024 17:29;CET;384390;819.934.895;0.214;08/03/2024
MONRIF;IT0000066016;MON;Euronext Milan;EUR;0.043;0.0436;0.043;0.0436;08/03/2024 16:19;CET;50428;21.925.968;0.0436;08/03/2024
MUTUIONLINE;IT0004195308;MOL;Euronext Milan;EUR;33.65;33.80;32.75;33.50;08/03/2024 17:36;CET;28821;964062.35;33.50;08/03/2024
NEODECORTECH;IT0005275778;NDT;Euronext Milan;EUR;3.01;3.06;3.00;3.05;08/03/2024 17:17;CET;9227;27882.91;3.05;08/03/2024
NETWEEK;IT0005545675;NTW;Euronext Milan;EUR;0.069;0.069;0.0606;0.0616;08/03/2024 17:35;CET;171542;106.320.246;0.0616;08/03/2024
NEWLAT FOOD;IT0005385213;NWL;Euronext Milan;EUR;6.27;6.27;6.05;6.17;08/03/2024 17:35;CET;33703;207254.21;6.17;08/03/2024
NEXI;IT0005366767;NEXI;Euronext Milan;EUR;6.55;6.658;6.40;6.604;08/03/2024 17:35;CET;5952624;38.961.001.924;6.604;08/03/2024
NEXT RE;IT0005330516;NR;Euronext Milan;EUR;3.16;3.16;3.16;3.16;08/03/2024 14:48;CET;216;682.56;3.16;08/03/2024
OLIDATA;IT0001350625;OLI;Euronext Milan;EUR;0.63;0.63;0.615;0.62;08/03/2024 17:27;CET;257371;159.536.545;0.615;08/03/2024
OPENJOBMETIS;IT0003683528;OJM;Euronext Milan;EUR;16.15;16.20;16.10;16.10;08/03/2024 17:35;CET;38330;618629.45;16.10;08/03/2024
ORSERO;IT0005138703;ORS;Euronext Milan;EUR;14.76;14.84;14.24;14.52;08/03/2024 17:35;CET;69030;995867.86;14.52;08/03/2024
